date_time;nox;no2;no;siteid;pm10;nvpm10;vpm10;nvpm25;pm25;vpm25;co;o3;so2;temp;rh;press;location;geo_point_2d;datestart;dateend;current;instrumenttype
2020-11-10T07:00:00+00:00;110.401;54.6755;36.3432;500;11.594;;;;;;;;;10.6;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-11T16:00:00+00:00;21.8427;17.9268;2.5539;500;15.459;;;;;;;;;11.7;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-11T17:00:00+00:00;18.4346;15.8742;1.6698;500;17.392;;;;;;;;;11.9;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-12T01:00:00+00:00;2.7368;2.4356;0.1965;500;12.561;;;;;;;;;8.2;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-12T14:00:00+00:00;34.8553;22.4551;8.0872;500;18.358;;;;;;;;;10.9;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-12T17:00:00+00:00;35.8881;24.5422;7.3996;500;18.358;;;;;;;;;9.1;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-12T19:00:00+00:00;46.4738;30.7602;10.2481;500;20.29;;;;;;;;;8.6;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-12T20:00:00+00:00;14.5618;10.6459;2.5539;500;21.256;;;;;;;;;9.0;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-12T23:00:00+00:00;21.0681;20.1644;0.5894;500;15.459;;;;;;;;;10.5;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-13T01:00:00+00:00;3.563;3.563;0.0;500;12.561;;;;;;;;;10.3;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-13T03:00:00+00:00;1.9106;1.8102;0.0655;500;15.459;;;;;;;;;10.6;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-13T04:00:00+00:00;4.2343;3.6318;0.3929;500;15.459;;;;;;;;;11.0;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-13T08:00:00+00:00;71.0016;48.6612;14.57;500;9.662;;;;;;;;;9.4;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-13T12:00:00+00:00;39.8642;25.7571;9.2004;500;22.223;;;;;;;;;10.8;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-13T14:00:00+00:00;34.2357;26.3538;5.1404;500;18.358;;;;;;;;;10.1;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-13T21:00:00+00:00;60.0028;41.5782;12.0162;500;21.256;;;;;;;;;7.0;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-14T04:00:00+00:00;18.0731;16.065;1.3097;500;6.763;;;;;;;;;12.1;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-14T06:00:00+00:00;16.7306;12.9151;2.4884;500;12.561;;;;;;;;;12.9;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-14T18:00:00+00:00;10.7406;9.0839;1.0805;500;15.459;;;;;;;;;12.1;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-15T09:00:00+00:00;8.5202;6.3614;1.4079;500;13.527;;;;;;;;;9.6;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-16T01:00:00+00:00;2.6163;1.9469;0.4366;500;11.594;;;;;;;;;10.4;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-16T07:00:00+00:00;36.9725;27.5343;6.1554;500;18.358;;;;;;;;;8.0;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-16T17:00:00+00:00;31.5505;22.1123;6.1554;500;12.561;;;;;;;;;10.2;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-16T18:00:00+00:00;16.8855;14.4757;1.5716;500;10.628;;;;;;;;;10.4;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-17T07:00:00+00:00;68.7295;40.3648;18.499;500;16.425;;;;;;;;;11.4;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-17T09:00:00+00:00;27.781;21.0036;4.4201;500;14.493;;;;;;;;;11.7;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-18T12:00:00+00:00;49.6236;24.4719;16.4035;500;11.594;;;;;;;;;14.0;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-18T20:00:00+00:00;14.8716;12.1104;1.8008;500;22.223;;;;;;;;;8.5;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-18T23:00:00+00:00;4.9056;3.6003;0.8513;500;25.121;;;;;;;;;8.6;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-19T14:00:00+00:00;82.2069;46.3619;23.3775;500;25.121;;;;;;;;;7.6;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-20T00:00:00+00:00;249.1554;61.3957;122.4537;500;24.155;;;;;;;;;4.1;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-20T04:00:00+00:00;259.5645;61.2622;129.3294;500;21.256;;;;;;;;;3.4;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-20T06:00:00+00:00;278.2114;73.5332;133.4876;500;19.324;;;;;;;;;5.8;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-20T07:00:00+00:00;81.1512;50.1257;20.2343;500;18.358;;;;;;;;;6.1;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-20T14:00:00+00:00;34.2605;24.7219;6.2209;500;7.73;;;;;;;;;9.0;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-21T18:00:00+00:00;17.354;13.388;2.5866;500;9.662;;;;;;;;;10.3;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-22T15:00:00+00:00;35.6031;29.4783;3.9945;500;24.155;;;;;;;;;4.9;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
